equipo,confederacion,ranking_fifa,puntos_fifa,mundiales_jugados,partidos_totales,victorias_totales,empates_totales,derrotas_totales,gf_total,gc_total,win_rate_historico,gf_prom_hist,gc_prom_hist,mejor_posicion,ultimo_mundial,veces_campeon,veces_final,veces_semifinal,veces_cuartos,mundiales_recientes,partidos_recientes,victorias_recientes,empates_recientes,derrotas_recientes,gf_reciente,gc_reciente,win_rate_reciente,gf_prom_rec,gc_prom_rec,summary_campeon,summary_sub,summary_tercero,ptd_grupos_match,v_grupos_match,e_grupos_match,d_grupos_match,gf_grupos_match,gc_grupos_match,wr_grupos_match,gfp_grupos_match,gcp_grupos_match,ptd_ko_match,v_ko_match,e_ko_match,d_ko_match,gf_ko_match,gc_ko_match,wr_ko_match,gfp_ko_match,gcp_ko_match,finales_jugadas,semis_jugadas,ptd_total_match,wr_total_match,gfp_total_match,gcp_total_match,ratio_goles_hist,ratio_goles_rec,consistencia_mundial,indice_titulo,tendencia,brecha_grupos_ko,indice_presion,eficiencia_goleadora,solidez_defensiva,indice_rendimiento
Canada,CONCACAF,27.0000,1559.1500,2,6,0,0,6,2,12,0.0000,0.3333,2.0000,24,2022,0,0,0,0,1,3,0,0,3,2,7,0.0000,0.6667,2.3333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.1666,0.2857,0.0909,0,0.0000,,,0.1666,0.5714,1.1400
China,AFC,,,1,3,0,0,3,0,9,0.0000,0.0000,3.0000,31,2002,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,0.0455,0,,,,0.0000,0.3571,0.0000
Bolivia,CONMEBOL,,,3,6,0,1,5,1,20,0.0000,0.1667,3.3333,12,1994,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0500,,0.1364,0,,,,0.0500,0.2857,0.3400
New Zealand,OFC,67.0000,1340.0000,2,6,0,3,3,4,14,0.0000,0.6667,2.3333,22,2010,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.2857,,0.0909,0,,,,0.2857,0.5000,1.9500
Egypt,CAF,34.0000,1520.6800,3,7,0,2,5,5,12,0.0000,0.7143,1.7143,13,2018,0,0,0,0,1,3,0,0,3,2,6,0.0000,0.6667,2.0000,0,0,0,41.0000,12.0000,13.0000,16.0000,35.0000,39.0000,0.2927,0.8537,0.9512,12.0000,5.0000,6.0000,1.0000,14.0000,8.0000,0.4167,1.1667,0.6667,2.0000,2.0000,53.0000,0.3208,0.9245,0.8868,0.4167,0.3334,0.1364,0,0.0000,-0.1240,0.4167,0.4167,0.6327,11.1800
Kuwait,AFC,,,1,3,0,1,2,2,6,0.0000,0.6667,2.0000,21,1982,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.3334,,0.0455,0,,,,0.3334,0.5714,2.2800
Haiti,CONCACAF,103.0000,1215.0000,1,3,0,0,3,2,14,0.0000,0.6667,4.6667,15,1974,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.1429,,0.0455,0,,,,0.1429,0.0000,0.9800
Honduras,CONCACAF,70.0000,1325.0000,3,9,0,3,6,3,14,0.0000,0.3333,1.5556,18,2014,0,0,0,0,1,3,0,0,3,1,8,0.0000,0.3333,2.6667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.2143,0.1250,0.1364,0,0.0000,,,0.2143,0.6667,1.4600
Qatar,AFC,85.0000,1255.0000,1,3,0,0,3,1,7,0.0000,0.3333,2.3333,32,2022,0,0,0,0,1,3,0,0,3,1,7,0.0000,0.3333,2.3333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.1428,0.1428,0.0455,0,0.0000,,,0.1428,0.5000,0.9800
Iceland,UEFA,,,1,3,0,1,2,2,5,0.0000,0.6667,1.6667,29,2018,0,0,0,0,1,3,0,1,2,2,5,0.0000,0.6667,1.6667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.4000,0.4000,0.0455,0,0.0000,,,0.4000,0.6429,2.7300
Iraq,AFC,80.0000,1280.0000,1,3,0,0,3,1,4,0.0000,0.3333,1.3333,23,1986,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.2500,,0.0455,0,,,,0.2500,0.7143,1.7100
Panama,CONCACAF,30.0000,1540.4300,1,3,0,0,3,2,11,0.0000,0.6667,3.6667,32,2018,0,0,0,0,1,3,0,0,3,2,11,0.0000,0.6667,3.6667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.1818,0.1818,0.0455,0,0.0000,,,0.1818,0.2143,1.2400
Israel,OTROS,,,1,3,0,2,1,1,3,0.0000,0.3333,1.0000,12,1970,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,0.0455,0,,,,0.3333,0.7857,2.2800
Angola,CAF,,,1,3,0,2,1,1,2,0.0000,0.3333,0.6667,23,2006,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.4999,,0.0455,0,,,,0.4999,0.8571,3.4200
El Salvador,CONCACAF,,,2,6,0,0,6,1,22,0.0000,0.1667,3.6667,16,1982,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0455,,0.0909,0,,,,0.0455,0.2143,0.3100
